generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
11,phase_cross,-0.35315567314047747,-1.5641150664331738,0.29906542056074764,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5714285714285714,0.255952380952381,0.9241071428571429,0.0,0.0,0.0,0.0,0.0,0.025714285714285724,0.0,1.0,0.8541666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,phase_cross,-0.16189974856830974,-1.4244710216557872,0.3333333333333333,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6964285714285714,0.27827380952380953,0.9438244047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7916666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,phase_cross,-0.256493934413071,-1.4865075494800826,0.3181818181818182,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.24739583333333334,0.8277529761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7916666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,phase_cross,-0.354597056387731,-1.4803057166690377,0.2647058823529412,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.48214285714285715,0.295014880952381,1.040922619047619,0.0,0.0,0.0,0.0,0.08142857142857148,0.10607142857142855,0.0,1.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,phase_cross,-0.08069332024544193,-1.200833981354856,0.30927835051546393,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5357142857142857,0.4215029761904762,1.3768601190476188,0.0,0.0,0.0,0.0,0.017142857142857213,0.05785714285714285,0.0,1.0,0.625,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,phase_cross,-0.01309858194122894,-1.01651323196119,0.32558139534883723,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5,0.4479166666666667,1.4088541666666667,0.0,0.0,0.0,0.0,0.06000000000000005,0.08999999999999998,0.0,1.0,0.6041666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,phase_cross,0.09476163894037845,-0.9598277313898577,0.34831460674157305,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5535714285714286,0.45758928571428575,1.3612351190476188,0.0,0.0,0.0,0.0,0.0,0.04178571428571424,0.0,1.0,0.4375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,phase_cross,0.052046869036098294,-1.047228864772087,0.3434343434343434,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.40141369047619047,1.1912202380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,phase_cross,0.056737984453722246,-0.8475411683272073,0.3723404255319149,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.4758184523809524,1.4025297619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5208333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,phase_cross,0.05574295460666639,-1.0494757353797926,0.3522727272727273,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5535714285714286,0.37983630952380953,1.087797619047619,0.0,0.0,0.0,0.0,0.0,0.04178571428571424,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,phase_cross,0.0954692841316537,-1.3854051735778832,0.3953488372093023,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.30617559523809523,0.9088541666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6458333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,phase_cross,0.18963758961920685,-1.1892887107742702,0.3723404255319149,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.3526785714285714,1.0546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6041666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,phase_cross,0.10606855333404318,-0.8887483368871131,0.3548387096774194,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5892857142857143,0.4453125,1.2901785714285714,0.0,0.0,0.0,0.0,0.0,0.00964285714285711,0.0,1.0,0.4791666666666667,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,phase_cross,0.03956903553469815,-1.1079315253185376,0.34,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.3519345238095238,1.0796130952380951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,phase_cross,0.13518390620724946,-1.0924866573772576,0.35365853658536583,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5178571428571429,0.31547619047619047,0.9661458333333334,0.0,0.0,0.0,0.0,0.03857142857142857,0.07392857142857137,0.0,1.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,phase_cross,0.1723034773271668,-0.7484023650975455,0.358695652173913,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5892857142857143,0.4375,1.1837797619047619,0.0,0.0,0.0,0.0,0.0,0.00964285714285711,0.0,1.0,0.5416666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,phase_cross,0.23222114972293387,-0.5546819497419387,0.4,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5357142857142857,0.4601934523809524,1.1930803571428572,0.0,0.0,0.0,0.0,0.017142857142857213,0.05785714285714285,0.0,1.0,0.5625,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
