generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
17,phase_T,0.18953300713927507,-1.4450776998806354,0.4,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.56,0.26833333333333337,1.3375000000000001,0.0,0.0,0.0,0.0,0.0,0.035999999999999935,0.0,1.0,0.7916666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,phase_T,0.22731582086059432,-1.5313479581137859,0.4166666666666667,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.2966666666666667,1.3883333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7083333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,phase_T,0.24664372199456877,-1.133376750317583,0.4166666666666667,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.385,1.6275000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,phase_T,0.18554742985174041,-1.1739784977486047,0.40540540540540543,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.335,1.3533333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,phase_T,0.14602402970466863,-1.1557424146289064,0.4,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.64,0.35000000000000003,1.3083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7916666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,phase_T,0.16013528821015216,-1.022398957413582,0.4411764705882353,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.43250000000000005,1.6358333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7291666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,phase_T,0.1737924740423199,-1.2080137163531974,0.39473684210526316,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.31833333333333336,1.1883333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8541666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,phase_T,0.2240552717140102,-0.9872709860307319,0.4166666666666667,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.40166666666666667,1.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,phase_T,0.1422271630958072,-0.8882975998382698,0.4,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.64,0.4191666666666667,1.6183333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,phase_T,0.14986873952719026,-0.9406395249076086,0.3888888888888889,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.56,0.4033333333333333,1.3558333333333332,0.0,0.0,0.0,0.0,0.0,0.035999999999999935,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,phase_T,0.11260354957188211,-0.8549095814771638,0.3783783783783784,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.56,0.42,1.3783333333333332,0.0,0.0,0.0,0.0,0.0,0.035999999999999935,0.0,1.0,0.5416666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,phase_T,0.16342958180491196,-0.793510534914945,0.4222222222222222,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.76,0.4691666666666667,1.6441666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,phase_T,0.19094477953289601,-0.8830651982582115,0.39473684210526316,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6,0.43250000000000005,1.5683333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5208333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,phase_T,0.2590176906379904,-0.9298024250888224,0.4444444444444444,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.64,0.4091666666666667,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6875,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
